ADM2_CODE,ADM2_NAME,Rainfall March 2014 (mm),NDVI March 2014 (index*10000)
51333,Kiambu,377.000,6614.14
51334,Kirinyaga,736.000,6305.82
51335,Maragua,797.000,6717.63
51336,Muranga,644.000,6587.77
51337,Nyandarua,473.250,5376.37
51338,Nyeri,827.000,5829.81
51339,Thika,726.000,6172.77
51340,Kilifi,313.167,4713.82
51341,Kwale,408.000,4469.61
51342,Lamu,218.857,4844.95
51343,Malindi,571.667,4647.47
51344,Mombasa,313.167,3532.17
51345,Taita Taveta,931.143,4423.39
51346,Tana River,819.917,2958.47
51347,Embu,699.000,6832.54
51348,Isiolo,592.813,2545.10
51349,Kitui,875.720,4820.20
51350,Machakos,797.000,4783.31
51351,Makueni,697.889,5156.17
51352,Marsabit,806.878,2535.86
51353,Mbeere,515.333,4228.18
51354,Meru Central,775.667,5704.17
51355,Meru North,736.500,5006.74
51356,Meru South,937.000,5864.00
51357,Moyale,924.000,4491.85
51358,Mwingi,683.727,4146.39
51359,Tharaka,537.500,3709.60
51360,Nairobi,590.000,4985.83
51361,Garissa,613.976,2602.97
51362,Ijara,394.643,3971.47
51363,Mandera,295.353,2682.31
51364,Wajir,560.347,2336.33
51365,Bondo,1145.000,4332.94
51366,Central Kisii,708.000,5792.42
51367,Gucha,708.000,6101.58
51368,Homa Bay,1235.000,4899.83
51369,Kisumu,1619.800,4640.69
51370,Kuria,1180.000,5111.90
51371,Migori,982.333,5157.50
51372,Nyamira,818.000,6491.69
51373,Nyando,969.333,4473.70
51374,Rachuonyo,701.000,4291.00
51375,Siaya,923.000,4348.80
51376,Suba,2219.000,4857.50
61009,Administrative unit not available,1619.800,65.90
51377,Baringo,216.700,3679.69
51378,Bomet,818.000,6583.56
51379,Buret,754.000,6742.74
51380,Kajiado,508.964,4652.57
51381,Keiyo,218.000,5315.92
51382,Kericho,812.500,5763.97
51383,Koibatek,350.000,4973.83
51384,Laikipia,450.583,3811.25
51385,Marakwet,428.500,5959.68
51386,Nakuru,503.000,4914.94
51388,Narok,559.778,5531.95
51389,Samburu,584.536,3479.33
51390,Trans Mara,1203.670,6259.91
51391,Trans Nzoia,499.000,4603.76
51392,Turkana,478.732,2178.59
51393,Uasin Gishu,450.500,4292.59
51394,West Pokot,336.583,4131.61
61001,Administrative unit not available,1138.000,-626.02
68769,Nandi North,985.000,5740.68
68770,Nandi South,736.500,6679.48
51395,Bungoma,1232.000,4841.38
51396,Busia,1475.000,5106.94
51397,Butere Mumias,768.000,4916.31
51398,Kakamega,814.000,5822.90
51399,Lugari,531.500,4757.27
51400,Mt Elgon,602.500,5930.80
51401,Teso,845.000,4732.56
51402,Vihiga,1420.000,5218.00
61005,Administrative unit not available,1475.000,3937.33
